EmployeeId,FIRST_NAME,LAST_NAME,BIRTHDAY,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_TITLE,AGE,SALARY,COMMISSION,ManagerId,DepartmentId,Name
105,David,Austin,1989-07-19 00:00:00.000,DAUSTIN@chts.ca,590.423.4569,2021-06-25 00:00:00.000,IT_clerk,35,4800,NULL,103,60,David Austin
106,Valli,Pataballa,1988-05-29 00:00:00.000,VPATABAL@chts.ca,590.423.4560,2022-02-05 00:00:00.000,IT_clerk,37,4800,NULL,103,60,Valli Pataballa
107,Diana,Lorentz,1979-08-14 00:00:00.000,DLORENTZ@chts.ca,590.423.5567,2023-02-07 00:00:00.000,IT_clerk,45,4200,NULL,103,60,Diana Lorentz
108,Nancy,Greenberg,1969-02-11 00:00:00.000,NGREENBE@chts.ca,515.124.4569,2019-08-17 00:00:00.000,Fiancial_Manager,56,12008,NULL,101,100,Nancy Greenberg
109,Daniel,Faviet,1978-08-11 00:00:00.000,DFAVIET@chts.ca,515.124.4169,2019-08-16 00:00:00.000,Financial analyst,46,9000,NULL,108,100,Daniel Faviet
110,John,Chen,1983-04-23 00:00:00.000,JCHEN@chts.ca,515.124.4269,2023-09-28 00:00:00.000,Financial analyst,42,8200,NULL,108,100,John Chen
111,Ismael,Sciarra,1984-07-18 00:00:00.000,ISCIARRA@chts.ca,515.124.4369,2023-09-30 00:00:00.000,Financial analyst,40,7700,NULL,108,100,Ismael Sciarra
112,Jose Manuel,Urman,1985-01-10 00:00:00.000,JMURMAN@chts.ca,515.124.4469,2024-03-07 00:00:00.000,Financial analyst,40,7800,NULL,108,100,Jose Manuel Urman
113,Luis,Popp,1986-04-12 00:00:00.000,LPOPP@chts.ca,515.124.4567,2024-12-07 00:00:00.000,Financial analyst,39,6900,NULL,108,100,Luis Popp
114,Den,Raphaely,1974-05-19 00:00:00.000,DRAPHEAL@chts.ca,515.127.4561,2019-12-07 00:00:00.000,Supply Chain Manager,51,11000,NULL,102,30,Den Raphaely
115,Alexander,Khoo,1994-03-22 00:00:00.000,AKHOO@chts.ca,515.127.4562,2020-05-18 00:00:00.000,logistics analyst,31,3100,NULL,114,30,Alexander Khoo
116,Shelli,Baida,1990-03-13 00:00:00.000,SBAIDA@chts.ca,515.127.4563,2023-12-24 00:00:00.000,logistics analyst,35,2900,NULL,114,30,Shelli Baida
117,Sigal,Tobias,1992-06-30 00:00:00.000,STOBIAS@chts.ca,515.127.4564,2023-07-24 00:00:00.000,logistics analyst,32,2800,NULL,114,30,Sigal Tobias
118,Guy,Himuro,1989-10-12 00:00:00.000,GHIMURO@chts.ca,515.127.4565,2024-11-15 00:00:00.000,logistics analyst,35,2600,NULL,114,30,Guy Himuro
119,Karen,Colmenares,1991-04-15 00:00:00.000,KCOLMENA@chts.ca,515.127.4566,2024-08-10 00:00:00.000,logistics analyst,34,2500,NULL,114,30,Karen Colmenares
120,Matthew,Weiss,1978-08-19 00:00:00.000,MWEISS@chts.ca,650.123.1234,2019-07-18 00:00:00.000,Sales_Manager,46,8000,0.05,101,50,Matthew Weiss
121,Adam,Fripp,1973-05-17 00:00:00.000,AFRIPP@chts.ca,650.123.2234,2020-04-10 00:00:00.000,Sales_Manager,52,8200,0.05,101,50,Adam Fripp
122,Payam,Kaufling,1975-02-14 00:00:00.000,PKAUFLIN@chts.ca,650.123.3234,2020-05-01 00:00:00.000,Sales_Manager,50,7900,0.05,101,50,Payam Kaufling
123,Shanta,Vollman,1977-06-15 00:00:00.000,SVOLLMAN@chts.ca,650.123.4234,2020-10-10 00:00:00.000,Sales_Manager,47,6500,0.05,101,50,Shanta Vollman
124,Kevin,Mourgos,1969-12-01 00:00:00.000,KMOURGOS@chts.ca,650.123.5234,2021-11-16 00:00:00.000,Sales_Manager,55,5800,0.05,101,50,Kevin Mourgos
125,Julia,Nayer,1982-08-19 00:00:00.000,JNAYER@chts.ca,650.124.1214,2019-07-16 00:00:00.000,Salesperson,42,3200,0.03,120,50,Julia Nayer
126,Irene,Mikkilineni,1985-07-20 00:00:00.000,IMIKKILI@chts.ca,650.124.1224,2019-09-28 00:00:00.000,Salesperson,39,2700,0.02,120,50,Irene Mikkilineni
127,James,Landry,1987-02-21 00:00:00.000,JLANDRY@chts.ca,650.124.1334,2019-01-14 00:00:00.000,Salesperson,38,2400,0.02,120,50,James Landry
128,Steven,Markle,1988-03-12 00:00:00.000,SMARKLE@chts.ca,650.124.1434,2019-03-08 00:00:00.000,Salesperson,37,2200,0.02,120,50,Steven Markle
129,Laura,Bissot,1990-02-20 00:00:00.000,LBISSOT@chts.ca,650.124.5234,2019-08-20 00:00:00.000,Salesperson,35,3300,0.03,121,50,Laura Bissot
130,Mozhe,Atkinson,1984-08-24 00:00:00.000,MATKINSO@chts.ca,650.124.6234,2019-10-30 00:00:00.000,Salesperson,40,2800,0.02,121,50,Mozhe Atkinson
131,James,Marlow,1979-09-24 00:00:00.000,JAMRLOW@chts.ca,650.124.7234,2019-02-16 00:00:00.000,Salesperson,45,2500,0.02,121,50,James Marlow
132,TJ,Olson,1989-01-26 00:00:00.000,TJOLSON@chts.ca,650.124.8234,2019-04-10 00:00:00.000,Salesperson,36,2100,0.02,121,50,TJ Olson
133,Jason,Mallin,1989-06-04 00:00:00.000,JMALLIN@chts.ca,650.127.1934,2019-06-14 00:00:00.000,Salesperson,35,3300,0.03,122,50,Jason Mallin
134,Michael,Rogers,1977-01-20 00:00:00.000,MROGERS@chts.ca,650.127.1834,2019-08-26 00:00:00.000,Salesperson,48,2900,0.02,122,50,Michael Rogers
135,Ki,Gee,1992-03-29 00:00:00.000,KGEE@chts.ca,650.127.1734,2019-12-12 00:00:00.000,Salesperson,33,2400,0.02,122,50,Ki Gee
136,Hazel,Philtanker,1994-08-12 00:00:00.000,HPHILTAN@chts.ca,650.127.1634,2019-02-06 00:00:00.000,Salesperson,30,2200,0.02,122,50,Hazel Philtanker
137,Renske,Ladwig,1987-01-11 00:00:00.000,RLADWIG@chts.ca,650.121.1234,2019-07-14 00:00:00.000,Salesperson,38,3600,0.03,123,50,Renske Ladwig
138,Stephen,Stiles,1990-09-01 00:00:00.000,SSTILES@chts.ca,650.121.2034,2019-10-26 00:00:00.000,Salesperson,34,3200,0.03,123,50,Stephen Stiles
139,John,Seo,1986-05-23 00:00:00.000,JSEO@chts.ca,650.121.2019,2019-02-12 00:00:00.000,Salesperson,39,2700,0.02,123,50,John Seo
140,Joshua,Patel,1989-03-03 00:00:00.000,JPATEL@chts.ca,650.121.1834,2019-04-06 00:00:00.000,Salesperson,36,2500,0.02,123,50,Joshua Patel
